UNITID,SAT_AVG,C100_4
100654,850,0.1104
100663,1147,0.3173
100690,NULL,0
100706,1221,0.1848
100724,844,0.1224
100751,1181,0.4135
100760,NULL,NULL
100812,NULL,NULL
100830,990,0.0673
100858,1218,0.4431
100937,1167,0.5307
101028,NULL,NULL
101073,NULL,0.0179
101116,NULL,0
101143,NULL,NULL
101161,NULL,NULL
101189,985,0.0938
101240,NULL,NULL
101277,NULL,NULL
101286,NULL,NULL
101295,NULL,NULL
101301,NULL,NULL
101365,NULL,0
101435,992,0.2447
101453,848,0
101462,NULL,NULL
101471,NULL,NULL
101480,1062,0.1123
101499,NULL,NULL
101505,NULL,NULL
101514,NULL,NULL
101541,1031,0.3971
101569,NULL,NULL
101587,930,0.1208
101602,NULL,NULL
101648,1061,NULL
101675,NULL,0.0536
101693,1025,0.3333
101709,1069,0.2127
101736,NULL,NULL
101879,1027,0.1147
101897,NULL,NULL
101912,923,0.236
101949,NULL,NULL
101958,NULL,NULL
101994,NULL,NULL
102030,NULL,NULL
102049,1162,0.589
102058,NULL,0
102067,NULL,NULL
102076,NULL,NULL
102094,1045,0.1426
102234,1120,0.4282
102261,1045,0.08
102270,831,0.104
102298,NULL,0.2292
102313,NULL,NULL
102368,1046,0.1527
102377,955,0.1788
102395,NULL,NULL
102429,NULL,NULL
102553,NULL,0.0883
102580,NULL,NULL
102614,1058,0.1535
102632,NULL,0.086
102669,985,0.4211
102711,NULL,NULL
102845,NULL,0.2388
103501,NULL,NULL
103741,NULL,NULL
103778,NULL,NULL
103787,NULL,0
103811,NULL,NULL
103893,NULL,NULL
103909,NULL,NULL
103927,NULL,NULL
103945,NULL,0.2222
103954,NULL,NULL
103963,NULL,NULL
104090,NULL,0.1772
104151,1158,0.4526
104160,NULL,NULL
104179,NULL,0.4308
104188,NULL,0.7692
104346,NULL,NULL
104364,NULL,0.5
104391,NULL,NULL
104425,NULL,NULL
104434,NULL,NULL
104443,NULL,NULL
104504,NULL,NULL
104568,NULL,NULL
104577,NULL,NULL
104586,NULL,0.3899
104665,NULL,NULL
104708,NULL,NULL
104717,NULL,0.2242
104911,NULL,NULL
105145,NULL,NULL
105154,NULL,NULL
105163,NULL,NULL
105172,NULL,0.3333
105206,NULL,NULL
105215,NULL,NULL
105297,NULL,0
105330,NULL,0.3326
105349,NULL,NULL
105367,NULL,NULL
105428,NULL,NULL
105482,NULL,NULL
105525,NULL,NULL
105534,NULL,0.7105
105543,NULL,NULL
105589,1039,0.1594
105659,NULL,NULL
105668,NULL,NULL
105677,NULL,NULL
105701,NULL,NULL
105747,NULL,NULL
105792,NULL,NULL
105899,997,0.2875
105987,NULL,NULL
106041,NULL,NULL
106102,NULL,0
106111,NULL,NULL
106148,NULL,NULL
106245,990,0.1111
106263,NULL,NULL
106281,NULL,NULL
106306,NULL,0.0156
106315,NULL,NULL
106324,NULL,NULL
106342,1120,0.3472
106351,NULL,NULL
106360,NULL,NULL
106397,1154,0.3907
106412,871,0.0699
106449,NULL,NULL
106458,1088,0.2122
106467,NULL,0.2581
106485,NULL,0.1073
106494,NULL,NULL
106546,1050,NULL
106625,NULL,NULL
106704,1068,0.2299
106713,968,0.2364
106795,NULL,NULL
106810,NULL,0.2
106829,NULL,NULL
106883,NULL,NULL
106892,NULL,NULL
106908,NULL,NULL
106980,NULL,NULL
106999,NULL,NULL
107044,1135,0.4526
107071,988,0.1573
107080,1270,0.6432
107099,NULL,NULL
107123,NULL,NULL
107141,1209,0.5475
107211,NULL,NULL
107220,NULL,NULL
107293,NULL,NULL
107318,NULL,NULL
107327,NULL,NULL
107363,NULL,NULL
107442,NULL,NULL
107460,NULL,NULL
107488,NULL,NULL
107512,1120,0.5347
107521,NULL,NULL
107549,NULL,NULL
107558,1034,0.2566
107585,930,NULL
107600,NULL,0.2895
107619,NULL,NULL
107637,NULL,NULL
107655,NULL,NULL
107664,NULL,NULL
107725,NULL,NULL
107743,NULL,NULL
107789,NULL,NULL
107831,NULL,NULL
107840,NULL,NULL
107877,1010,0.2985
107974,NULL,NULL
107983,988,0.1907
107992,NULL,NULL
108065,NULL,NULL
108092,NULL,0.1138
108232,NULL,0.0691
108250,NULL,NULL
108269,NULL,NULL
108348,NULL,NULL
108649,NULL,NULL
108667,NULL,NULL
108807,NULL,NULL
108852,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,NULL
109040,NULL,NULL
109086,NULL,NULL
109208,NULL,NULL
109350,NULL,NULL
109651,NULL,0.1983
109721,NULL,NULL
109730,NULL,NULL
109785,1080,0.075
109819,NULL,NULL
109907,NULL,NULL
109934,NULL,NULL
110060,NULL,0.4545
110097,1115,0.5187
110185,NULL,0.5217
110194,NULL,NULL
110219,NULL,NULL
110246,NULL,NULL
110307,NULL,NULL
110316,NULL,NULL
110334,NULL,NULL
110361,960,0.4376
110370,NULL,0.3507
110398,NULL,NULL
110404,1544,0.8446
110413,1109,0.6017
110422,1259,0.4016
110468,NULL,NULL
110486,NULL,0.131
110495,NULL,0.1554
110510,887,0.1347
110529,1066,0.147
110538,1003,0.2273
110547,NULL,0.0617
110556,897,0.1554
110565,1024,0.1733
110574,NULL,0.1281
110583,1056,0.1587
110592,874,0.0677
110608,902,0.1136
110617,948,0.0664
110635,1397,0.7337
110644,1226,0.5763
110653,1175,0.7179
110662,1339,0.7365
110671,1119,0.475
110680,1344,0.5831
110699,NULL,NULL
110705,1248,0.6762
110714,1201,0.5535
110778,NULL,NULL
110875,NULL,NULL
110918,NULL,NULL
111009,NULL,NULL
111054,NULL,NULL
111081,NULL,0.5125
111188,NULL,0.4178
111391,NULL,NULL
111434,NULL,NULL
111461,NULL,NULL
111513,NULL,NULL
111638,NULL,NULL
111708,NULL,NULL
111717,NULL,NULL
111726,NULL,NULL
111744,NULL,NULL
111762,NULL,NULL
111799,NULL,NULL
111887,NULL,NULL
111896,NULL,NULL
111920,NULL,NULL
111939,NULL,NULL
111948,1217,0.6514
111966,NULL,NULL
112075,1029,0.5167
112084,933,0.1905
112127,NULL,NULL
112172,NULL,NULL
112181,NULL,NULL
112190,NULL,NULL
112251,NULL,NULL
112260,1408,0.773
112288,NULL,NULL
112367,NULL,NULL
112385,NULL,NULL
112394,NULL,0.2857
112446,NULL,0.25
112455,NULL,NULL
112525,NULL,NULL
112561,NULL,NULL
112570,NULL,0.4
112686,NULL,NULL
112826,NULL,NULL
113096,NULL,NULL
113111,NULL,NULL
113193,NULL,NULL
113218,NULL,NULL
113236,NULL,NULL
113333,NULL,NULL
113449,NULL,NULL
113537,NULL,NULL
113573,NULL,NULL
113582,NULL,0.6667
113634,NULL,NULL
113698,1054,0.526
113704,NULL,NULL
113856,NULL,NULL
113980,NULL,NULL
114044,NULL,NULL
114114,NULL,NULL
114123,NULL,NULL
114266,NULL,NULL
114354,NULL,0.5597
114390,NULL,0.4286
114415,NULL,NULL
114433,NULL,NULL
114460,NULL,NULL
114549,NULL,NULL
114585,NULL,NULL
114637,NULL,NULL
114716,NULL,NULL
114734,NULL,NULL
114761,NULL,NULL
114789,NULL,NULL
114813,988,0.4689
114840,NULL,NULL
114859,NULL,NULL
114938,NULL,NULL
114947,NULL,NULL
115001,NULL,NULL
115010,NULL,NULL
115083,NULL,NULL
115126,NULL,NULL
115214,NULL,NULL
115296,NULL,NULL
115357,NULL,NULL
115393,NULL,NULL
115409,1484,0.8551
115658,NULL,NULL
115728,858,0.2816
115746,NULL,NULL
115755,990,0.1591
115773,NULL,0.3
115861,NULL,NULL
115931,NULL,NULL
116226,NULL,NULL
116350,NULL,NULL
116439,NULL,NULL
116466,NULL,1
116475,NULL,NULL
116484,NULL,NULL
116563,NULL,NULL
116712,NULL,NULL
116846,NULL,0.6316
117052,NULL,NULL
117104,901,0.1892
117113,NULL,0.3851
117140,1034,0.4462
117168,NULL,0.3971
117195,NULL,NULL
117238,NULL,NULL
117247,NULL,NULL
117274,NULL,NULL
117520,NULL,NULL
117557,NULL,0
117575,NULL,0
117627,929,0.2329
117636,NULL,NULL
117645,NULL,NULL
117672,NULL,NULL
117690,NULL,NULL
117706,NULL,NULL
117715,NULL,NULL
117724,NULL,NULL
117733,NULL,NULL
117751,1091,0.5698
117788,NULL,NULL
117803,NULL,NULL
117867,NULL,NULL
117894,NULL,NULL
117928,NULL,0.2361
117946,1222,0.6968
117955,NULL,NULL
118134,NULL,NULL
118143,NULL,NULL
118161,NULL,NULL
118189,NULL,NULL
118198,NULL,NULL
118259,NULL,NULL
118277,NULL,NULL
118286,NULL,NULL
118347,NULL,NULL
118541,NULL,NULL
118684,NULL,NULL
118693,1018,0.3233
118718,NULL,NULL
118772,NULL,NULL
118888,1183,0.5849
118912,NULL,NULL
118930,NULL,NULL
118958,NULL,NULL
118967,NULL,NULL
118976,NULL,NULL
118994,NULL,NULL
119058,NULL,NULL
119067,NULL,NULL
119137,NULL,NULL
119164,NULL,NULL
119173,915,0.519
119216,NULL,NULL
119234,NULL,NULL
119270,NULL,0.6316
119331,NULL,NULL
119553,NULL,NULL
119605,NULL,0.1304
119678,NULL,NULL
119775,NULL,0.037
119845,NULL,NULL
119951,NULL,NULL
120069,NULL,NULL
120078,NULL,NULL
120087,NULL,NULL
120184,910,0.2845
120254,1304,0.8229
120272,NULL,NULL
120290,NULL,NULL
120342,NULL,NULL
120403,1045,0.6491
120421,NULL,NULL
120537,910,0.2308
120661,NULL,NULL
120698,NULL,NULL
120740,NULL,NULL
120768,NULL,NULL
120795,NULL,NULL
120838,NULL,NULL
120865,984,0.3034
120883,1152,0.4446
120953,NULL,NULL
120971,NULL,NULL
121017,NULL,NULL
121044,NULL,NULL
121150,1226,0.7596
121257,NULL,0.8307
121275,NULL,NULL
121309,1148,0.6341
121345,1435,0.9126
121363,NULL,NULL
121433,NULL,NULL
121619,NULL,NULL
121628,NULL,NULL
121637,NULL,NULL
121691,1130,0.6532
121707,NULL,NULL
121859,NULL,NULL
121868,NULL,NULL
121886,NULL,NULL
121901,NULL,NULL
121983,NULL,0.3333
121992,NULL,NULL
122117,NULL,NULL
122126,NULL,NULL
122180,NULL,NULL
122205,NULL,NULL
122296,NULL,NULL
122339,NULL,NULL
122366,NULL,NULL
122375,NULL,NULL
122384,NULL,NULL
122409,1130,0.3008
122436,1236,0.6605
122454,NULL,0.3214
122506,NULL,0.6111
122597,979,0.1826
122603,NULL,NULL
